Industry_Vertical,industry_count
"Cab Booking app platform",3
"Automated Storage & Warehousing Solution",3
"on-demand delivery service",3
"Food Customer analytics platform",3
"Online Coffee Delivery platform",3
"Custom Furniture Marketplace",3
"Ethnic Beverages manufacturer",3
"Physical Storage warehouses",3
"Fine Dining Restaurant Chain",3
"Online Grocers",3
"Healthy Food Online Community",3
"Big Data & Analytics Services",3
"Mobile Compression Software",3
"Customer Engagement Platform",3
"Restaurant Management Platform",3
"B2B Marketing",2
"Consumer Goods",2
Energy,2
"Digital Media",2
NBFC,2
Clean-tech,2
"Online Food ordering & Delivery platform",2
"App based Bus Pooling Services",2
"Online Wedding Marketplace",2
"Smart Safety Wearable Devices",2
"Online Freight Services Aggregator",2
"Cab search Comparison & Booking platform",2
"International Hiring Platform",2
"Digital Intelligent learning platform",2
"Home Stay & room rentals platform",2
"Cricket Management Mobile Game",2
"Online Products Discovery Platform",2
"Mobile Services Marketplace",2
"Health and Beauty Services Marketplace",2
"Education Content Provider",2
"Delivery & Logistics Service provider",2
"Payments Solution platform",2
"Hotel Aggregator & booking platform",2
"Virtual Reality activity based learning platform",2
"Document Digitization platform",2
"Study Material Marketplace",2
"Real-Time stock data platform",2
"Hyperlocal Grocery Delivery",2
"Fashion Discovery platform",2
"Online budget hotel chain",2
"Mobile based PoS solution",2
"mobile social network",2
"Online printing marketplace",2
"engineering services company",2
"Financial Inclusion platform",2
"Logistics service platform",2
"Exam Preparation Platform",2
"Online Furniture Marketplace",2
"Professional Custom creators Marketplace",2
"Mobile Point of Sale payment solution",2
"Clinical Genomics Provider",2
"Preventive Healthcare Services",2
"Bespoke Merchandize Marketplace",2
"Hyperlocal Shopping App",2
"Mobile Commerce Platform",2
"Peer to Peer Lending platform",2
"Online Art Marketplace",2
"Career Development",2
"Online Fashion Aggregator",2
"Online Job skills Showcase",2
"On-Demand Business messaging",2
"Last Mile Logistics",2
"Web Content Publishing",2
"Digital / Mobile Wallet",2
"Device Repair Svcs",2
"Restaurant Reviews",2
"Hyper-Local Online/Mobile Grocery",2
"Online Classifieds & Listings",2
"Robotic Program learning",2
"Tele-Shopping / eCommerce",2
"B2B-focused foodtech startup",1
IoT,1
"Consumer Technology",1
Compliance,1
Inspiration,1
Lifestyle,1
"Consumer Portal",1
FMCG,1
"On Demand Mobile app developer",1
"Car Maintenance & Management mobile app",1
"Cab Sharing service Mobile app",1
"Supply Chain & Logistics Solutions",1
"Online RTI application services",1
"New Curation Mobile App",1
"Online Food Ordering Marketplace",1
"Efficient Energy Management platform",1
"Domestic Help Aggregation platform",1
"Premium dining Lounges & restaurants",1
"On-demand Maids Service Provider",1
"eCommerce Product Search Engine",1
"Virtual Reality Headset creator",1
"mobile-only tasks marketplace",1
"Sales & Productivity Software",1
"Nightlife Discovery Mobile App",1
"Social platform for traders and investors",1
"Healthcare Services Discovery platform",1
"On Demand Laundry Services App",1
"Fitness Tracking Management Solutions",1
"Fashion jewelry and accessories e-tailer",1
"Premium Apparel shopping portal",1
"Sports Management & Physical Education Business",1
"Rental Accommodation Search platform",1
"Ride Sharing platform",1
"Cloud Based Collaboration platform",1
"Travel Destination Discovery platform",1
"Healthcare IT Solutions & services",1
"Home Made Food Marketplace",1
"Personal Diagnostic Mobile App",1
"Hyperlocal Logistics Service",1
"Ridesharing Mobile app",1
"Autorickshaw Aggregator & Booking platform",1
"FinTech Startup Incubation platform",1
"Online Movie Review Platform",1
"ECommerce Brands\\xe2\\x80\\x99 Full Service Agency",1
"Gym & Fitness Studios Subscription platform",1
"Used Vehicles Marketplace",1
"Food Subscription platform",1
"Internet of Things platform",1
"Diagnostic Labs aggregator platform",1
"coupons and cashback aggregator app",1
"End-to-end Logistics platform",1
"Hyper-Local Ecommerce",1
"Subscription based Online Grocery platform",1
"Picture based Social App",1
"Waste Management Solutions",1
"Online Diagnostic Tests Marketplace",1
"on-Demand Washing & Dry-Cleaning",1
"QSR Restaurant Chain",1
"IT infrastructure & Data Center services",1
"Online Finance lending platform",1
"Healthcare Mobile App",1
"Self-driven vehicle rental",1
"Online comparison engine",1
"Hyper local logistics platform",1
"Industrial Supplies B2B ecommerce",1
"Luxury Rental Homes",1
"Travel information portal",1
"Used Bikes Marketplace",1
"Used Vehicle Marketplace",1
"Educational Board Games",1
"Chinese food delivery",1
"Online Car Rental Affiliates",1
"Data Center Software platform",1
"Online City & Lifestyle Guide",1
"Healthcare\\nService provider",1
"Online Food Ordering",1
"Digital Marketing Services",1
"Global Healthcare products",1
"Financial Services Platform",1
"Social Network for Artists",1
"Startup funding platform",1
"SaaS product intelligence platform",1
"Fund Raising Platform",1
"Banking Analytics Platform",1
"Online Medical Diagnostic",1
"Business Messaging App",1
"Trucking Logistic Operations",1
"Logistics Intelligence",1
"Video Streaming",1
"Price Comparison",1
"Online Grocer",1
"Mobile App Development",1
"Online Certification Courses",1
"Ethnic Product eCommerce",1
"Online Insurance Aggregator",1
"Grey collar Job Board",1
AI,0
"Social Network",0
Fashion,0
Storytelling,0
Auto,0
BFSI,0
"Consumer Interne",0
"Brand Licensing Startup",0
"Gourmet Food Discovery & Delivery platform",0
"Health, Wellness & Beauty Services App",0
"Womens Fashion Wear Portal",0
"Product Learning platform",0
"Social Learning Platform",0
"Social Fitness platform",0
"Splitting Bills Mobile App",0
"IOT Energy Management Analytics platform",0
"eLearning platform",0
"Cloud Enterprise Mobility Platform",0
"Online Shopping Assistant Mobile app",0
"Chat based personal Assistant App",0
"eCommerce returns etailer",0
"Holiday Resort Chain",0
"Citizens Engagement Platform",0
"Indoor Navigation & Analytics Solutions",0
"Hyperlocal On-Demand Household Services platform",0
"ECommerce Website Creation SAAS platform",0
"Interface development platform for Government officials",0
"Private Jet Bookings Marketplace",0
"Event Venue Booking Platform",0
"Digital Media Platform",0
"Online Renting platform",0
"Online marketplace for Chef Meals",0
"ECommerce platform solutions",0
"Online Media Publication",0
"Bike, Appliances Renting marketplace",0
"Online Marketplace for Industrial Goods",0
"Reward points mobile app",0
"Content Discovery & reward points platform",0
"Digital Coupons, Deal & Cashback aggregator app",0
"Furniture and appliances rental platform",0
"Real Estate focused Tech platform",0
"hyperlocal online Services platform",0
"WiFi \xe2\x80\x93 first Cloud communication platform",0
"Voice Call incentivization mobile app",0
"Selfie Mobile App",0
"Online Reputation Management Platform",0
"affordable Personal Healthcare Products",0
"Product Customization Platform",0
"Talent platform for Fashion professionals",0
"Hyperlocal Logistics Service Provider",0
"On Demand Laundry Service platform",0
"Home Improvement Service platform",0
"Express local delivery platform",0
"On-Demand Local Logistics provider",0
"Curated Freelancer Marketplace",0
"Online Taxi Rental Platform",0
"Online Gourmet Food Marketplace",0
"ecommerce related software product platform",0
"Home Healthcare Services platform,",0
"Automotive Services platform",0
"Big Data Analytics Platform",0
"Content Management Software Solutions",0
"Online Lending Marketplace",0
"On Demand Beauty Services Platform",0
"Education Content etailer",0
"Clud based Learning platform",0
"Talent Exchange & Talent Services Marketplace",0
"Mobile Application Developer",0
"extra curricular activities marketplace app",0
"Hyperlocal Online Home services provider",0
"Easy Business Loans platform",0
"Performance based Wholesale Marketplace",0
"Professional Services Marketplace",0
"us ticketing and fleet management platform",0
"Online Income Tax Filing platform",0
"multi-sport program for preschoolers",0
"Organic Food etailer",0
"Product Discovery & comparison App",0
"Online Apparels Fashion brand",0
"Hotel Mobile CRM Software platform",0
"Doctors Network Mobile App",0
"360-degree view creating platform",0
"Online P2P lending marketplace",0
"B2B marketplace for industrial goods",0
"global community for travellers",0
"Prepaid Bill manager App",0
"Music Streaming mobile app",0
"Gym Discovery platform",0
"Online Purchase rewards app",0
"Home rental platform",0
"Crowdsourced Delivery platform",0
"Real Estate Insights platform",0
"Startup Funding Marketplace",0
"Order Fulfillment SAAS platform",0
"Gourmet Meals Delivery",0
"Healthy Meals Food delivery platform",0
"Personalized Stock Intelligence Platform",0
"Psychometric Test Online Software",0
"Online user engagement platform",0
"Online Grocery Store",0
"Investment management platform",0
"Industrial Toons Marketplace",0
"Artificial Intelligence Ecommerce Chatbot",0
"Truck Aggregator & Logistics service",0
"Payment Services platform",0
"Doctor consultancy Mobile App",0
"Beauty & Wellness Services Marketplace",0
"Smart Report Cards for Schools",0
"Teacher empowerment platform",0
"pre-used luxury item Marketplace",0
"Home Design & D\\xc3\\xa9cor platform",0
"Online Bus & Cab ticketing platform",0
"Prepaid Mobile Bill Manager App",0
"Home Fitting & Fixtures Marketplace",0
"ECommerce Data Analytics Platform",0
"Designer Merchandize Marketplace",0
"Hyperlocal Delivery Platform",0
"Food discovery & table booking app",0
"Financial Products lead generation platform",0
"Sustainable Agri-inputs Firm",0
"Pre-owned games Marketplace",0
"Content-based Subscription eCommerce platform",0
"Healthcare Consulting platform",0
"Stock Market Portal",0
"online meal-booking platform for train travelers",0
"Ecommerce Product recommendation platform",0
"Activity Based Social Network",0
"Consumer lending marketplace",0
"Local Mobile OS",0
"Tech-enabled learning",0
"on-demand home beauty and wellness portal",0
"Self Driven Car rental",0
"Energy & Environment Online Marketplace",0
"Rental Accomodation finder",0
"Luxury Apparel rental",0
"anonymous bulletin board app",0
"Travel community platform",0
"Car & Bike ecommerce platform",0
"Energy saving solutions provider",0
"Self-Storage Spaces",0
"Grocery retail Mobile app",0
"Machine Learning Platform",0
"Digital Marketing automation solution",0
"On-Demand Beauty Services",0
"Startup Focused Online Publisher",0
"App based Fitness coaching",0
"On demand cleaning & fixing services",0
"Beauty & Lifestyle platform",0
"Location based engagement & rewards platform",0
"Online Identity Verification Services platform",0
"Fashion Search & Review Platform",0
"pre-owned Luxury online apparel seller",0
"Scientific Horoscope Online Assistance platform",0
"Tech enabled AC bus service",0
"solar products and services marketplace",0
"Private Cloud Networks SAAS platform",0
"Education Marketplace",0
"Cloud Based Hotel Sales Platform",0
"online recipe sharing platform",0
"Digital Media publishing platform",0
"Big Data & predictive Analysis Platform",0
"Business IT Intelligence Services",0
"Ed-Tech Platform",0
"Mobile Fitness Marketplace",0
"P2P Pre-owned goods marketplace",0
"Online Tailoring Services",0
"Rail Ticket Confirmation predictor",0
"Hyperlocal Goods marketplace",0
"Food Discovery App",0
"Electric Scooter manufacturer",0
"\\xc2\\xa0News Aggregator mobile app",0
"\\xc2\\xa0Online Jewellery Store",0
"\\xc2\\xa0Fashion Info Aggregator App",0
"\\xc2\\xa0Online Study Notes Marketplace",0
"\\xc2\\xa0Warranty Programs Service Administration",0
"\\xc2\\xa0Pre-School Chain",0
"\\xc2\\xa0Premium Loyalty Rewards Point Management",0
"\\xc2\\xa0Contact Center Software Platform",0
"\\xc2\\xa0Casual Dining restaurant Chain",0
"\\xc2\\xa0Online Grocery Delivery",0
"Live video streaming app",0
"Online Hiring Platform",0
"Casual Dating App",0
"Private Jet/ Helicopter Marketplace",0
"Ethnic/ Traditional Fashion Store",0
"B2B logistics delivery platform",0
"Logistics Automation Platform",0
"On-Demand Laundry & Dry cleaning App",0
"On-Demand Car services App",0
"Online Curated Holiday package bookings",0
"Beauty and Wellness Platform",0
"Used two-wheeler Marketplace",0
"Tech-enabled Rural Healthcare Services",0
"Engineering Innovations",0
"P2P Payments platform",0
"Women Lifestyle Marketplace",0
"Artist / Designer Marketplace",0
"Online Printing Services",0
"Travel Guide Mobile App",0
"Skill Training & Placement Platform",0
"online tiffin service aggregator",0
"Electronic Goods recycling service",0
"Parents & Kids Online platform",0
"On-Demand Logistics Service",0
"Health & Fitness App",0
"Travel Search Engine",0
"Brain Games Platform",0
"Algorithmic Match Making Platform",0
"Science Learning App",0
"Hyperlocal services marketplace",0
"Beauty services Mobile Marketplace",0
"Online Lingerie platform",0
"Railways Information Mobile app",0
"Speech Recognition Solutions",0
"Service-On-Demand Mobile App",0
"Intelligent Data Analytics",0
"Online Office Rental",0
"Online News Media",0
"Enterprise Communication Platform",0
"Online Travel Planning",0
"Rooftop Solar Plants",0
"Online Car Portal",0
"Payments Solution Provider",0
"Weight Management Service",0
"Mobile Health Tech",0
"On-Demand Handyman Services",0
"Beauty & Wellness Mobile App",0
"Restaurant reservation app",0
"Spam Call block App",0
"Clean Tech",0
"Online Furniture ecommerce",0
"Mobile Food Ordering app",0
